,sentence_id,words,labels,ner_tags
192,56,1x,O,0
193,57,bopp,O,0
194,57,tape,O,0
195,57,48mm100m,O,0
196,57,clear,O,0
197,58,fz04,O,0
198,58,36,O,0
199,60,6935818350846,O,0
200,60,1x,O,0
201,61,items,O,0
202,61,qtys,O,0
203,62,total,O,0
204,62,rm,O,0
205,62,33,O,0
206,62,92,O,0
207,63,rounding,O,0
208,63,adjustmed,O,0
209,63,rm,O,0
210,63,002,O,0
211,64,total,O,0
212,64,rounded,O,0
213,64,rh,O,0
214,64,3390,B-TOT,7
215,65,cash,O,0
216,65,rm,O,0
217,65,5000,O,0
218,66,change,O,0
219,66,rm,O,0
220,66,1610,O,0
221,67,o,O,0
222,67,2220,O,0
223,67,22,O,0
224,68,120119,B-TIM,5
225,68,2113,O,0
226,68,sho,O,0
227,68,zko9,O,0
228,68,14,O,0
229,68,roo0027830,O,0
230,69,operator,O,0
231,69,trainee,O,0
232,69,cashier,O,0
233,71,exchange,O,0
234,71,are,O,0
235,71,allowed,O,0
236,71,within,O,0
237,72,7,O,0
238,72,days,O,0
239,72,with,O,0
240,72,receipt,O,0
241,73,strictly,O,0
242,73,no,O,0
243,73,cash,O,0
244,73,refund,O,0
245,80,tan,O,0
246,80,woon,O,0
247,80,yann,O,0
248,91,yongfatt,B-ORG,1
249,91,enterprise,I-ORG,2
250,102,4m0517726,O,0
251,103,no,B-ADD,3
252,103,122124,I-ADD,4
253,103,jalan,I-ADD,4
254,103,dedap,I-ADD,4
255,103,13,I-ADD,4
256,104,81100,I-ADD,4
257,104,johor,I-ADD,4
258,104,bahru,I-ADD,4
259,105,tel,O,0
260,105,07352,O,0
261,106,gst,O,0
262,106,id,O,0
263,106,000849812,O,0
264,107,simplified,O,0
265,107,tax,O,0
266,107,invoice,O,0
267,108,cash,O,0
268,81,doe,O,0
269,81,no,B-ADD,3
270,81,cs00031664,O,0
271,81,date,O,0
272,81,26122018,O,0
273,82,user,O,0
274,82,time,O,0
275,82,123100,O,0
276,83,sake,O,0
277,83,of,O,0
278,83,ret,O,0
279,84,fom,O,0
280,84,qty,O,0
281,84,sipiice,O,0
282,84,amount,O,0
283,84,tax,O,0
284,85,8318,O,0
285,85,1,O,0
286,85,80,O,0
287,85,91,O,0
288,85,8091,O,0
289,85,sr,O,0
290,86,elegant,O,0
291,86,sch,O,0
292,86,tr,O,0
293,86,bag,O,0
294,86,15,O,0
295,87,total,O,0
296,87,qty,O,0
297,87,1,O,0
298,87,8094,O,0
299,88,total,O,0
300,88,sales,O,0
301,88,excluding,O,0
302,88,gst,O,0
303,88,6091,O,0
304,89,discount,O,0
305,89,000,O,0
306,90,total,O,0
307,90,gst,O,0
308,90,000,O,0
309,92,rounding,O,0
310,92,001,O,0
311,93,elusive,O,0
312,93,of,O,0
313,93,gst,O,0
314,93,8090,B-TOT,7
315,94,cash,O,0
316,94,10000,O,0
317,95,change,O,0
318,95,1910,O,0
319,96,1,O,0
320,97,,O,0
321,98,amtrm,O,0
322,98,tax,O,0
323,98,rm,O,0
324,99,8091,O,0
325,99,oo,O,0
326,100,total,O,0
327,100,8091,O,0
328,100,000,O,0
329,101,are,O,0
330,101,not,O,0
331,101,refundable,O,0
332,101,only,O,0
333,109,tan,O,0
334,109,woon,O,0
335,109,yann,O,0
336,120,mr,B-ORG,1
337,120,oty,O,0
338,120,m,B-ORG,1
339,120,son,O,0
340,120,bhd,B-ORG,1
341,131,coreg,O,0
342,131,86067,O,0
343,131,d,O,0
344,138,ot,O,0
345,138,151a,O,0
346,138,1851b,B-ADD,3
347,138,jalan,I-ADD,4
348,138,kpb,I-ADD,4
349,138,6,I-ADD,4
350,139,kawasan,I-ADD,4
351,139,perindustrian,I-ADD,4
352,139,balakong,I-ADD,4
353,140,43300,I-ADD,4
354,140,seri,I-ADD,4
355,140,kembangan,I-ADD,4
356,140,selangor,I-ADD,4
357,141,tesco,I-ADD,4
358,141,putra,I-ADD,4
359,141,nilai,I-ADD,4
360,142,invoice,O,0
361,143,kilat,O,0
362,143,auto,O,0
363,143,eco,O,0
364,143,ash,O,0
365,143,shine,O,0
366,143,51000,O,0
367,143,it,O,0
368,110,wa4s2a,O,0
369,110,12,O,0
370,111,916500133,O,0
371,111,exe,O,0
372,111,317,O,0
373,111,311,O,0
374,112,eco,O,0
375,112,auto,O,0
376,112,wash,O,0
377,112,hax,O,0
378,112,ew100011,O,0
379,113,a,O,0
380,113,12,O,0
381,114,16500126,O,0
382,114,1x,O,0
383,115,wo40,O,0
384,115,277ml,O,0
385,115,moq,O,0
386,115,2572,O,0
387,116,wa4sa,O,0
388,116,24,O,0
389,117,00084,O,0
390,117,tx,O,0
391,117,1281128,O,0
392,118,kleenso,O,0
393,118,ajaib,O,0
394,118,99,O,0
395,118,serat,O,0
396,118,wanyi,O,0
397,118,9006,O,0
398,119,wooo,O,0
399,119,15,O,0
400,121,51400385,O,0
401,121,vx,O,0
402,121,tas,O,0
403,121,745,O,0
404,122,erchtef,O,0
405,122,7138682pcs,O,0
406,123,pl2pdll4,O,0
407,123,6900,O,0
408,124,go90822,O,0
409,124,1x,O,0
410,125,items,O,0
411,125,35,O,0
412,125,qtys,O,0
413,125,5,O,0
414,126,tota,O,0
415,126,rm,O,0
416,126,309,O,0
417,127,rounding,O,0
418,127,adjust,O,0
419,127,rm,O,0
420,127,001,O,0
421,128,total,O,0
422,128,rounded,O,0
423,128,rm,O,0
424,128,3090,B-TOT,7
425,129,cash,O,0
426,129,rm,O,0
427,129,5100,O,0
428,130,change,O,0
429,130,rm,O,0
430,130,2010,O,0
431,132,,O,0
432,133,181118,B-TIM,5
433,133,1358,O,0
434,133,sho1,O,0
435,133,2163,O,0
436,133,12,O,0
437,133,ro00002902,O,0
438,134,uperator,O,0
439,134,trainee,O,0
440,134,cashier,O,0
441,135,exchange,O,0
442,135,are,O,0
443,135,allowed,O,0
444,135,within,O,0
445,136,7,O,0
446,136,days,O,0
447,136,with,O,0
448,136,receipt,O,0
449,137,strictly,O,0
450,137,no,O,0
451,137,cash,O,0
452,137,refund,O,0
453,144,tan,O,0
454,144,chay,O,0
455,144,yee,O,0
456,154,abc,B-ORG,1
457,154,ho,I-ORG,2
458,154,trading,I-ORG,2
459,155,no24,I-ADD,4
460,155,jalan,I-ADD,4
461,155,harmont,O,0
462,155,32,B-ADD,3
463,156,taman,I-ADD,4
464,156,desa,I-ADD,4
465,156,harmont,O,0
466,157,81100,B-ADD,3
467,157,bahrujohor,O,0
468,158,07355,O,0
469,158,2616,O,0
470,159,cash,O,0
471,159,bill,O,0
472,159,01143008,O,0
473,160,date,O,0
474,160,09012019,B-TIM,5
475,160,80111,O,0
476,160,pm,O,0
477,161,cashier,O,0
478,161,01,O,0
479,145,description,O,0
480,145,qty,O,0
481,145,price,O,0
482,145,amount,O,0
483,146,so,O,0
484,147,i,O,0
485,147,2,O,0
486,147,1550,O,0
487,147,3100,B-TOT,7
488,148,total,O,0
489,148,amount,O,0
490,149,cash,O,0
491,149,received,O,0
492,150,change,O,0
493,150,7000,O,0
494,151,goods,O,0
495,151,sold,O,0
496,151,are,O,0
497,151,nonrefundable,O,0
498,152,thank,O,0
499,152,you,O,0
500,152,4,O,0
501,152,0,O,0
502,153,please,O,0
503,153,come,O,0
504,153,again,O,0
505,162,tan,O,0
506,162,chay,O,0
507,162,yee,O,0
508,173,soon,B-ORG,1
509,173,huat,I-ORG,2
510,173,machinery,I-ORG,2
511,173,enterprise,I-ORG,2
512,184,jm0352019k,O,0
513,195,no53,B-ADD,3
514,195,jalan,I-ADD,4
515,195,1,I-ADD,4
516,198,taman,I-ADD,4
517,198,sri,I-ADD,4
518,199,81200,I-ADD,4
519,199,bahru,I-ADD,4
520,200,tel,O,0
521,200,075547360,O,0
522,200,0167993391,O,0
523,200,fax,O,0
524,200,075624059,O,0
525,201,soonhuat2000hotmailcom,O,0
526,163,gst,O,0
527,163,id,O,0
528,163,002116837376,O,0
529,164,gu,O,0
530,164,cash,O,0
531,164,sales,O,0
532,165,doc,O,0
533,165,no,O,0
534,165,s00004040,O,0
535,165,date,O,0
536,165,11012019,B-TIM,5
537,166,cashier,O,0
538,166,user,O,0
539,166,time,O,0
540,166,094400,O,0
541,167,ret,O,0
542,168,es,O,0
543,168,ammotint,O,0
544,168,tak,O,0
545,169,8000,O,0
546,170,repair,O,0
547,170,engine,O,0
548,170,power,O,0
549,170,sprayer,O,0
550,170,1unit,O,0
551,171,workmanship,O,0
552,171,service,O,0
553,172,70549,O,0
554,172,1,B-ADD,3
555,174,giant,O,0
556,174,606,O,0
557,174,overflow,O,0
558,174,assy,O,0
559,175,1071,O,0
560,175,1,B-ADD,3
561,176,engine,O,0
562,176,o1l,O,0
563,177,70791,O,0
564,177,1,B-ADD,3
565,178,grease,O,0
566,178,for,O,0
567,178,tools,O,0
568,178,40ml,O,0
569,178,akoda,O,0
570,179,70637,O,0
571,179,1,B-ADD,3
572,180,ey20,O,0
573,180,plug,O,0
574,180,champion,O,0
575,181,1843,O,0
576,181,1,B-ADD,3
577,181,goo,O,0
578,182,starter,O,0
579,182,tali,O,0
580,183,70197,O,0
581,183,1,B-ADD,3
582,185,ey20,O,0
583,185,starter,O,0
584,185,handle,O,0
585,186,70561,O,0
586,186,2,O,0
587,186,3600,O,0
588,187,h040,O,0
589,187,1l,O,0
590,187,cotin,O,0
591,188,toalay,O,0
592,188,9,O,0
593,188,se700,O,0
594,189,total,O,0
595,189,sales,O,0
596,189,32700,B-TOT,7
597,190,discount,O,0
598,190,000,O,0
599,191,total,O,0
600,191,000,O,0
601,192,rounding,O,0
602,192,000,O,0
603,193,total,O,0
604,193,sales,O,0
605,193,32700,B-TOT,7
606,194,cash,O,0
607,194,32700,B-TOT,7
608,196,change,O,0
609,196,000,O,0
610,197,goods,O,0
611,197,sold,O,0
612,197,are,O,0
613,197,not,O,0
614,197,returnable,O,0
615,197,thank,O,0
616,197,you,O,0
617,202,tan,O,0
618,202,chay,O,0
619,202,yee,O,0
620,213,sufi,O,0
621,213,hotor,O,0
622,213,sungat,O,0
623,213,son,O,0
624,213,bt,O,0
625,214,801580t,O,0
626,215,no,B-ADD,3
627,215,343,I-ADD,4
628,215,jalan,I-ADD,4
629,215,kurau,I-ADD,4
630,215,sungai,I-ADD,4
631,215,rengit,I-ADD,4
632,216,81620,I-ADD,4
633,216,pengerang,I-ADD,4
634,216,johor,I-ADD,4
635,217,el,O,0
636,217,078263254,O,0
637,217,fax,O,0
638,217,078266888,O,0
639,218,invoice,O,0
640,219,ttemdesc,O,0
641,219,quy,O,0
642,219,uprice,O,0
643,219,rnctotal,O,0
644,220,4132,O,0
645,220,1,O,0
646,220,2000,B-TOT,7
647,220,20,O,0
648,220,00,O,0
649,203,crocs,O,0
650,203,300x17,O,0
651,203,tubes,O,0
652,204,sub,O,0
653,204,total,O,0
654,204,2000,B-TOT,7
655,205,rounding,O,0
656,205,adjustment,O,0
657,205,000,O,0
658,206,grand,O,0
659,206,total,O,0
660,206,2000,B-TOT,7
661,207,cash,O,0
662,207,2000,B-TOT,7
663,208,change,O,0
664,208,000,O,0
665,209,23012019,B-TIM,5
666,209,131415,O,0
667,209,pm,O,0
668,209,print,O,0
669,209,by,O,0
670,209,root,O,0
671,210,token,O,0
672,210,no,B-ADD,3
673,210,0,O,0
674,210,station,O,0
675,210,id,O,0
676,210,al,O,0
677,210,pid,O,0
678,210,pos,O,0
679,211,invoice,O,0
680,211,no,B-ADD,3
681,211,22497,O,0
682,212,thanks,O,0
683,212,your,O,0
684,212,support,O,0
685,212,4,O,0
686,212,www,O,0
687,212,0,O,0
688,221,adodige,O,0
689,232,perniagaar,O,0
690,232,zheng,B-ORG,1
691,232,hui,I-ORG,2
692,243,jmos2b956v,O,0
693,251,no89,O,0
694,251,jalan,B-ADD,3
695,251,95,I-ADD,4
696,252,bandar,I-ADD,4
697,252,baru,I-ADD,4
698,252,jaya,I-ADD,4
699,253,81760,I-ADD,4
700,253,johor,I-ADD,4
701,253,bahru,I-ADD,4
702,254,tel,O,0
703,254,7524,O,0
704,254,fax,O,0
705,254,3793,O,0
706,255,gst,O,0
707,255,no,O,0
708,255,odoan0ss9624,O,0
709,256,simplified,O,0
710,256,tax,O,0
711,256,invoice,O,0
712,222,gogiant,O,0
713,222,engineering,O,0
714,223,recslptz,O,0
715,223,cs00082562,O,0
716,224,salesperson,O,0
717,224,date,O,0
718,224,12022018,B-TIM,5
719,225,cashier,O,0
720,225,user,O,0
721,225,time083020,O,0
722,226,rm,O,0
723,227,amount,O,0
724,228,1800,O,0
725,229,sr,O,0
726,229,11,O,0
727,229,prowess,O,0
728,229,hduty,O,0
729,229,silicone,O,0
730,229,gun,O,0
731,229,gd2,O,0
732,230,9586075109147,O,0
733,230,oa,O,0
734,230,3,O,0
735,230,700,O,0
736,230,2100,O,0
737,231,sr,O,0
738,231,xtraseal,O,0
739,231,riv,O,0
740,231,acetic,O,0
741,231,silicone,O,0
742,231,sa107,O,0
743,233,orda,O,0
744,233,gbo1,O,0
745,233,1800,O,0
746,233,4800,O,0
747,234,sr,O,0
748,234,central,O,0
749,234,pungh,O,0
750,234,set,O,0
751,234,3pcs,O,0
752,234,1453214,O,0
753,235,12528,O,0
754,235,ae,O,0
755,235,1,O,0
756,235,8000,O,0
757,235,saac,O,0
758,236,sr,O,0
759,236,24,O,0
760,236,marksman,O,0
761,236,pipe,O,0
762,236,wrench,O,0
763,237,2016,O,0
764,237,ga,O,0
765,237,3,O,0
766,237,070,O,0
767,237,24c,O,0
768,238,sr,O,0
769,238,pvc,O,0
770,238,wire,O,0
771,238,tape,O,0
772,238,1pc,O,0
773,238,x,O,0
774,238,7yd,O,0
775,239,tot,O,0
776,239,aye,O,0
777,240,excluded,O,0
778,240,gst,O,0
779,240,sub,O,0
780,240,total,O,0
781,240,rm,O,0
782,240,70640,O,0
783,241,discount,O,0
784,241,ri,O,0
785,241,000,O,0
786,242,total,O,0
787,242,ost,O,0
788,242,rm,O,0
789,242,637,O,0
790,244,rounding,O,0
791,244,rm,O,0
792,244,002,O,0
793,245,total,O,0
794,245,fay,O,0
795,245,11246,O,0
796,246,gash,O,0
797,246,11248,O,0
798,247,change,O,0
799,247,rm,O,0
800,247,600,O,0
801,248,gst,O,0
802,248,summary,O,0
803,249,goods,O,0
804,249,sold,O,0
805,249,are,O,0
806,249,not,O,0
807,249,returnable,O,0
808,250,thank,O,0
809,250,you,O,0
810,257,ert,O,0
811,257,a,O,0
812,268,1950,O,0
813,268,gs,O,0
814,279,gerbang,B-ORG,1
815,279,alaf,I-ORG,2
816,279,restaurants,I-ORG,2
817,279,sdn,I-ORG,2
818,279,bhd,I-ORG,2
819,285,65351m,O,0
820,286,formerly,O,0
821,286,known,O,0
822,286,as,O,0
823,287,golden,O,0
824,287,arches,O,0
825,287,restaurants,B-ORG,1
826,287,sdn,I-ORG,2
827,287,biid,O,0
828,288,licensee,O,0
829,288,of,O,0
830,288,mcvonalds,O,0
831,289,level,B-ADD,3
832,289,6,I-ADD,4
833,289,bangunan,I-ADD,4
834,289,th,I-ADD,4
835,289,damansara,I-ADD,4
836,289,uptown3,I-ADD,4
837,290,no3,I-ADD,4
838,290,jalan,I-ADD,4
839,290,8213947400,O,0
840,290,petaling,B-ADD,3
841,290,jaya,I-ADD,4
842,258,selangor,I-ADD,4
843,259,gst,O,0
844,259,id,O,0
845,259,no,O,0
846,259,000504664064,O,0
847,260,mcdonalds,O,0
848,260,bhp,O,0
849,260,taman,O,0
850,260,melawat,O,0
851,260,i328,O,0
852,261,tel,O,0
853,261,no,O,0
854,261,0341622318,O,0
855,262,tax,O,0
856,262,invoice,O,0
857,263,mfy,O,0
858,263,side,O,0
859,263,1,O,0
860,264,inv,O,0
861,264,003281900229170,O,0
862,265,ord,O,0
863,265,50,O,0
864,265,reg,O,0
865,265,19,O,0
866,265,18012018,B-TIM,5
867,265,102703,O,0
868,266,qty,O,0
869,266,item,O,0
870,266,total,O,0
871,267,2,O,0
872,267,chicmcmuf,O,0
873,267,fin,O,0
874,267,1100,O,0
875,269,1m,O,0
876,269,porridge,O,0
877,269,560,O,0
878,270,1,O,0
879,270,bm,O,0
880,270,2hotcakes,O,0
881,270,1000,O,0
882,271,1,O,0
883,271,l,O,0
884,271,coke,O,0
885,272,takeout,O,0
886,272,total,O,0
887,272,incl,O,0
888,272,gst,O,0
889,272,2660,B-TOT,7
890,273,total,O,0
891,273,rounded,O,0
892,273,2660,B-TOT,7
893,274,cash,O,0
894,274,tendered,O,0
895,274,9000,O,0
896,275,change,O,0
897,275,7340,O,0
898,276,total,O,0
899,276,includes,O,0
900,276,6,B-ADD,3
901,276,gst,O,0
902,277,wed,O,0
903,277,love,O,0
904,277,to,O,0
905,277,hear,O,0
906,277,your,O,0
907,277,feedbe,O,0
908,278,3it,O,0
909,278,wwwmcdfeedback,O,0
910,278,com,O,0
911,280,download,O,0
912,280,my,O,0
913,280,mcd,O,0
914,280,feedback,O,0
915,280,from,O,0
916,281,google,O,0
917,281,playapp,O,0
918,281,store,O,0
919,282,to,O,0
920,282,share,O,0
921,282,your,O,0
922,282,experience,O,0
923,283,thank,O,0
924,283,you,O,0
925,283,and,O,0
926,283,please,O,0
927,283,come,O,0
928,283,again,O,0
929,284,customer,O,0
930,284,service,O,0
931,284,hotline,O,0
932,284,0327265600,O,0
933,291,trading,B-ORG,1
934,291,co,I-ORG,2
935,302,742014w,O,0
936,311,67jln,B-ADD,3
937,311,mewah,I-ADD,4
938,311,2563,I-ADD,4
939,311,thn,O,0
940,311,sri,B-ADD,3
941,311,muda,I-ADD,4
942,312,40400,I-ADD,4
943,312,shah,I-ADD,4
944,312,alam,I-ADD,4
945,313,telfax,O,0
946,313,0351213881,O,0
947,314,bst,O,0
948,314,no,O,0
949,314,001006288896,O,0
950,315,tax,O,0
951,315,invoice,O,0
952,315,a,O,0
953,316,he,O,0
954,316,eog,O,0
955,316,unicorn,O,0
956,316,twin,O,0
957,316,super,O,0
958,316,glue,O,0
959,316,usg99,O,0
960,317,9997368063013,O,0
961,317,1x,O,0
962,317,20,O,0
963,317,520,O,0
964,292,5,O,0
965,292,ezl,O,0
966,292,a4,O,0
967,292,cyber,O,0
968,292,mix,O,0
969,292,color,O,0
970,292,paper,O,0
971,292,100758,O,0
972,293,27008,O,0
973,293,1x,O,0
974,293,s,O,0
975,294,qtyss,O,0
976,294,items,O,0
977,295,tax,O,0
978,295,amt,O,0
979,295,s,O,0
980,295,4,O,0
981,295,ri,O,0
982,295,1330,O,0
983,296,gst,O,0
984,296,62,O,0
985,296,rm,O,0
986,296,080,O,0
987,297,tax,O,0
988,297,amt,O,0
989,297,z,O,0
990,297,0,O,0
991,297,rm,O,0
992,297,000,O,0
993,298,gst,O,0
994,298,0,O,0
995,298,rm,O,0
996,298,000,O,0
997,299,tax,O,0
998,299,ant,O,0
999,299,e,O,0
1000,299,62,O,0
1001,299,rh,O,0
1002,299,000,O,0
1003,300,exc,O,0
1004,300,gst,O,0
1005,300,6,O,0
1006,300,rm,O,0
1007,300,000,O,0
1008,301,total,O,0
1009,301,rm,O,0
1010,301,1410,B-TOT,7
1011,303,cash,O,0
1012,303,rh,O,0
1013,303,2000,O,0
1014,304,change,O,0
1015,304,rn,O,0
1016,304,396,O,0
1017,305,sa,O,0
1018,305,a,O,0
1019,306,thank,O,0
1020,306,you,O,0
1021,306,for,O,0
1022,306,shopping,O,0
1023,307,goods,O,0
1024,307,sold,O,0
1025,307,are,O,0
1026,307,not,O,0
1027,307,returnable,O,0
1028,308,fridv,O,0
1029,308,29122017,B-TIM,5
1030,308,time,O,0
1031,308,2017,O,0
1032,309,cas,O,0
1033,309,c,O,0
1034,309,san,O,0
1035,310,wc5,O,0
1036,310,swh,O,0
1037,310,01,O,0
1038,310,invsr000721134,O,0
1039,318,tot,O,0
1040,318,gywene,O,0
1041,329,son,O,0
1042,329,bhd,B-ORG,1
1043,340,2737x,O,0
1044,342,no,B-ADD,3
1045,342,176,O,0
1046,342,jalan,B-ADD,3
1047,342,sevia,O,0
1048,342,inuah,O,0
1049,343,x,B-ADD,3
1050,343,ui3x,O,0
1051,343,setta,O,0
1052,343,ala,O,0
1053,344,seksyen,B-ADD,3
1054,344,u13,I-ADD,4
1055,344,40170,I-ADD,4
1056,344,shah,I-ADD,4
1057,344,alan,O,0
1058,345,tel,O,0
1059,345,o12,O,0
1060,345,665i7a3,O,0
1061,345,fax,O,0
1062,345,us,O,0
1063,345,33633608,O,0
1064,346,gst,O,0
1065,346,no,B-ADD,3
1066,346,huossa5ze769,O,0
1067,347,suaplifted,O,0
1068,347,tax,O,0
1069,347,thvodce,O,0
1070,319,receipt,O,0
1071,319,wz,O,0
1072,319,cspo393921,O,0
1073,319,date,O,0
1074,319,15062017,B-TIM,5
1075,320,salesperson,O,0
1076,320,ahou2,O,0
1077,320,time,O,0
1078,320,15428200,O,0
1079,321,iteh,O,0
1080,321,ory,O,0
1081,321,up,O,0
1082,321,anount,O,0
1083,322,rh,O,0
1084,323,rit,O,0
1085,324,2000160000024,O,0
1086,324,1,O,0
1087,324,150,O,0
1088,324,100,O,0
1089,324,3,O,0
1090,325,20,O,0
1091,325,16kg,O,0
1092,325,x,B-ADD,3
1093,325,soghm,O,0
1094,325,big,O,0
1095,325,sireich,O,0
1096,325,filn,O,0
1097,325,72,O,0
1098,326,utal,O,0
1099,326,quantity,O,0
1100,326,1,O,0
1101,327,subtotal,O,0
1102,327,6st,O,0
1103,327,500,O,0
1104,328,wisc,O,0
1105,328,0100,O,0
1106,330,rounding,O,0
1107,330,000,O,0
1108,331,total,O,0
1109,331,1500,B-TOT,7
1110,332,cash,O,0
1111,332,1500,B-TOT,7
1112,333,change,O,0
1113,333,600,O,0
1114,334,tax,O,0
1115,334,total,O,0
1116,334,085,O,0
1117,335,goods,O,0
1118,335,sold,O,0
1119,335,are,O,0
1120,335,not,O,0
1121,335,refundable,O,0
1122,336,thane,O,0
1123,336,you,O,0
1124,336,for,O,0
1125,336,chousing,O,0
1126,336,us,O,0
1127,337,3,O,0
1128,337,provide,O,0
1129,337,original,O,0
1130,337,bill,O,0
1131,337,for,O,0
1132,338,bichange,O,0
1133,338,within,O,0
1134,338,1,O,0
1135,338,seek,O,0
1136,338,proh,O,0
1137,338,iransation,O,0
1138,339,goods,O,0
1139,339,huss,O,0
1140,339,in,O,0
1141,339,original,O,0
1142,339,state,O,0
1143,339,70,O,0
1144,341,entitled,O,0
1145,341,for,O,0
1146,341,exchang,O,0
1147,348,home,B-ORG,1
1148,348,master,I-ORG,2
1149,348,hardware,I-ORG,2
1150,359,electrical,I-ORG,2
1151,368,nq113g,O,0
1152,368,1156,O,0
1153,368,jalan,B-ADD,3
1154,368,gembilang,I-ADD,4
1155,369,u138g,O,0
1156,370,40770,O,0
1157,371,selangor,B-ADD,3
1158,372,company,O,0
1159,372,reg,O,0
1160,372,mo,O,0
1161,372,sa03711951f,O,0
1162,373,gst,O,0
1163,373,reg,O,0
1164,373,no,O,0
